,State_UT,Crime_2020,Crime_2021,Crime_2022,Mid-Year_Projected_Population(2022),IPC_2022,Chargesheeting_Rate(2022),Crime_change(%)
0,Andhra Pradesh,188997,179611,158547,530.3,299.0,86.5,-19%
1,Arunachal Pradesh,2244,2626,2308,15.5,148.8,47.2,2%
2,Assam,111558,119883,59315,354.9,167.1,32.6,-88%
3,Bihar,194698,186006,211079,1255.3,168.1,75.4,7%
4,Chhattisgarh,65216,70519,73822,299.5,246.5,80.4,11%
5,Goa,3393,2099,2711,15.7,172.8,75.9,-25%
6,Gujarat,381849,273056,134600,709.3,189.8,89.8,-183%
7,Haryana,103276,112720,125435,299.7,418.6,43.3,17%
8,Himachal Pradesh,14803,13041,13231,74.4,177.8,82.9,-11%
9,Jharkhand,51033,47684,48726,391.4,124.5,58.2,-4%
10,Karnataka,106350,115728,129461,674.1,192.1,78.3,17%
11,Kerala,149099,142643,235858,356.8,661.0,96.0,36%
12,Madhya Pradesh,283881,304066,298578,858.9,347.6,86.6,4%
13,Maharashtra,394017,367218,374038,1257.4,297.5,75.3,-5%
14,Manipur,2349,2484,3029,32.0,94.6,10.4,22%
15,Meghalaya,2871,2672,2914,33.3,87.6,26.9,1%
16,Mizoram,1787,2467,3587,12.3,291.6,58.0,50%
17,Nagaland,1022,1033,1008,22.2,45.4,58.0,-1%
18,Odisha,108533,124956,143414,460.8,311.2,77.9,24%
19,Punjab,49870,46454,43738,306.0,142.9,66.4,-14%
20,Rajasthan,193279,214552,236090,804.4,293.5,49.8,18%
21,Sikkim,504,532,549,6.8,80.3,55.5,8%
22,Tamil Nadu,891700,322852,193913,767.1,252.8,70.7,-359%
23,Telangana,135885,146131,151849,379.5,400.1,79.1,10%
24,Tripura,4010,4133,3653,41.2,88.7,73.1,-9%
25,Uttar Pradesh,355110,357905,401787,2340.9,171.6,76.1,11%
26,Uttarakhand,13812,15704,16967,115.6,146.8,71.5,18%
27,West Bengal,158060,157498,156503,987.6,158.5,90.6,0%
29,Andaman and Nicobar Islands,482,386,460,4.0,114.4,83.9,-4%
30,Chandigarh,2583,2401,2941,12.2,240.5,54.4,12%
31,Dadra and Nagar Haveli and Daman and Diu,441,490,1184,12.0,98.6,82.5,62%
32,Delhi,249192,291904,300429,211.0,1424.1,30.2,17%
33,Jammu and Kashmir,25233,27447,25915,135.4,191.4,77.1,2%
34,Ladakh,387,519,439,3.0,146.8,82.4,11%
35,Lakshadweep,107,89,64,0.7,92.8,73.5,-67%
36,Puducherry,6725,3851,3237,16.2,199.7,91.3,-107%
