,State_UT,Crime_2020,Crime_2022,Crime_change(%)
0,Andhra Pradesh,188997,158547,-19%
1,Arunachal Pradesh,2244,2308,2%
2,Assam,111558,59315,-88%
3,Bihar,194698,211079,7%
4,Chhattisgarh,65216,73822,11%
5,Goa,3393,2711,-25%
6,Gujarat,381849,134600,-183%
7,Haryana,103276,125435,17%
8,Himachal Pradesh,14803,13231,-11%
9,Jharkhand,51033,48726,-4%
10,Karnataka,106350,129461,17%
11,Kerala,149099,235858,36%
12,Madhya Pradesh,283881,298578,4%
13,Maharashtra,394017,374038,-5%
14,Manipur,2349,3029,22%
15,Meghalaya,2871,2914,1%
16,Mizoram,1787,3587,50%
17,Nagaland,1022,1008,-1%
18,Odisha,108533,143414,24%
19,Punjab,49870,43738,-14%
20,Rajasthan,193279,236090,18%
21,Sikkim,504,549,8%
22,Tamil Nadu,891700,193913,-359%
23,Telangana,135885,151849,10%
24,Tripura,4010,3653,-9%
25,Uttar Pradesh,355110,401787,11%
26,Uttarakhand,13812,16967,18%
27,West Bengal,158060,156503,0%
29,Andaman and Nicobar Islands,482,460,-4%
30,Chandigarh,2583,2941,12%
31,Dadra and Nagar Haveli and Daman and Diu,441,1184,62%
32,Delhi,249192,300429,17%
33,Jammu and Kashmir,25233,25915,2%
34,Ladakh,387,439,11%
35,Lakshadweep,107,64,-67%
36,Puducherry,6725,3237,-107%
