,State_UT,Crime_2020,Crime_2021,Crime_2022,Mid-Year_Projected_Population(2022),IPC_2022,Chargesheeting_Rate(2022)
25,Uttar Pradesh,355110,357905,401787,2340.9,171.6,76.1
13,Maharashtra,394017,367218,374038,1257.4,297.5,75.3
32,Delhi,249192,291904,300429,211.0,1424.1,30.2
12,Madhya Pradesh,283881,304066,298578,858.9,347.6,86.6
20,Rajasthan,193279,214552,236090,804.4,293.5,49.8
11,Kerala,149099,142643,235858,356.8,661.0,96.0
3,Bihar,194698,186006,211079,1255.3,168.1,75.4
22,Tamil Nadu,891700,322852,193913,767.1,252.8,70.7
0,Andhra Pradesh,188997,179611,158547,530.3,299.0,86.5
27,West Bengal,158060,157498,156503,987.6,158.5,90.6
